,Date,price,buys_per_hour,sells_per_hour,volume_bought_per_hour,volume_sold_per_hour,size_bought_per_hour,size_sold_per_hour
63,2021-01-04 12:00:00,31158.3,5.0,2.0,5174.611611,49.6,0.16649999999999998,0.0015999999999999999
64,2021-01-04 13:00:00,31209.59,6.0,0.0,3919.407552,0.0,0.1262,0.0
65,2021-01-04 14:00:00,31985.01,6.0,5.0,1681.2807810000002,1810.062357,0.0529,0.056900000000000006
66,2021-01-04 15:00:00,31870.0,3.0,1.0,516.2803719999999,347.383,0.0161,0.0109
67,2021-01-04 16:00:00,31406.1,2.0,0.0,840.9729480000001,0.0,0.026799999999999997,0.0
68,2021-01-04 17:00:00,31005.37,3.0,1.0,3737.9574359999997,6.201074,0.1205,0.0002
69,2021-01-04 19:00:00,31299.08,2.0,0.0,12.519908000000001,0.0,0.00039999999999999996,0.0
70,2021-01-05 00:00:00,32807.02,5.0,1.0,155405.571926,56.6661,4.7600999999999996,0.0017
71,2021-01-05 02:00:00,32356.67,3.0,0.0,2325.3338540000004,0.0,0.0718,0.0
72,2021-01-05 03:00:00,31695.25,2.0,1.0,99.527192,594.175563,0.0031,0.0183
73,2021-01-05 04:00:00,31283.05,2.0,0.0,1158.984565,0.0,0.0373,0.0
74,2021-01-05 05:00:00,30336.7,1.0,1.0,448.98316,71.69445,0.0148,0.0023
75,2021-01-05 06:00:00,30966.7,0.0,2.0,0.0,3417.62037,0.0,0.1125
76,2021-01-05 08:00:00,31400.0,0.0,1.0,0.0,153.86,0.0,0.0049
77,2021-01-05 09:00:00,31619.01,9.0,2.0,26207.233565,413.197356,0.8275,0.0132
78,2021-01-05 12:00:00,31623.87,2.0,5.0,237.552615,24837.200058,0.0075,0.7837
79,2021-01-05 13:00:00,31710.71,2.0,0.0,954.442007,0.0,0.030100000000000002,0.0
80,2021-01-05 15:00:00,32064.18,0.0,2.0,0.0,41.733267,0.0,0.0013
81,2021-01-05 17:00:00,32741.39,13.0,0.0,17262.548532,0.0,0.5287,0.0
82,2021-01-05 18:00:00,33300.0,0.0,2.0,0.0,1527.6599999999999,0.0,0.046
83,2021-01-05 19:00:00,34000.0,0.0,3.0,0.0,1023.85,0.0,0.030199999999999998
84,2021-01-05 20:00:00,33985.3,3.0,0.0,723.88689,0.0,0.0213,0.0
85,2021-01-05 22:00:00,34259.03,1.0,0.0,1233.32508,0.0,0.036,0.0
86,2021-01-06 02:00:00,34088.7,2.0,0.0,6664.277644000001,0.0,0.1955,0.0
87,2021-01-06 03:00:00,33766.01,2.0,0.0,206.76889599999998,0.0,0.0060999999999999995,0.0
88,2021-01-06 04:00:00,35318.17,3.0,5.0,3692.482425,13394.580672,0.1047,0.3866
89,2021-01-06 05:00:00,34687.13,4.0,0.0,1334.753194,0.0,0.0383,0.0
90,2021-01-06 06:00:00,34884.5,3.0,0.0,827.639388,0.0,0.023600000000000003,0.0
91,2021-01-06 07:00:00,34521.02,13.0,0.0,14700.816243,0.0,0.42600000000000005,0.0
92,2021-01-06 08:00:00,34587.52,14.0,1.0,53000.263559,561.084408,1.5374,0.0162
93,2021-01-06 09:00:00,34041.27,2.0,0.0,183.576935,0.0,0.0054,0.0
94,2021-01-06 10:00:00,34454.12,0.0,1.0,0.0,103.36236,0.0,0.003
95,2021-01-06 11:00:00,34580.39,1.0,0.0,2022.952815,0.0,0.0585,0.0
96,2021-01-06 12:00:00,34816.72,1.0,0.0,344.685528,0.0,0.0099,0.0
97,2021-01-06 13:00:00,34651.9,0.0,1.0,0.0,1916.25007,0.0,0.0553
98,2021-01-06 14:00:00,34347.16,1.0,4.0,61.59042,4081.1920680000003,0.0018,0.11910000000000001
99,2021-01-06 15:00:00,34473.01,3.0,1.0,182.68873100000002,6.9,0.0053,0.0002
100,2021-01-06 16:00:00,34679.23,3.0,2.0,893.504062,894.7571859999999,0.0256,0.0258
101,2021-01-06 17:00:00,34975.83,1.0,1.0,996.811155,340.55,0.0285,0.0098
102,2021-01-06 18:00:00,35094.23,1.0,0.0,5144.814118,0.0,0.1466,0.0
103,2021-01-06 19:00:00,35448.27,0.0,2.0,0.0,6193.049671,0.0,0.1746
104,2021-01-06 20:00:00,35163.14,3.0,0.0,2165.222441,0.0,0.0619,0.0
105,2021-01-06 21:00:00,36268.0,0.0,1.0,0.0,1142.442,0.0,0.0315
106,2021-01-06 22:00:00,36221.71,7.0,0.0,1928.184535,0.0,0.0531,0.0
107,2021-01-06 23:00:00,36290.81,2.0,2.0,1080.8335280000001,381.052371,0.0298,0.0105
108,2021-01-07 00:00:00,36945.23,0.0,7.0,0.0,13019.163489,0.0,0.3519
109,2021-01-07 01:00:00,36800.0,1.0,5.0,775.444834,3755.74206,0.0211,0.1018
110,2021-01-07 02:00:00,36770.0,2.0,2.0,2375.995257,816.294,0.0645,0.0222
111,2021-01-07 03:00:00,37426.67,8.0,3.0,2445.4128530000003,16808.079999999998,0.0654,0.4506
112,2021-01-07 04:00:00,37237.0,0.0,1.0,0.0,644.2001,0.0,0.0173
113,2021-01-07 06:00:00,37300.0,1.0,1.0,590.41835,365.54,0.0158,0.0098
114,2021-01-07 07:00:00,36774.04,5.0,0.0,1446.086739,0.0,0.03900000000000001,0.0
115,2021-01-07 08:00:00,37150.01,2.0,0.0,928.749566,0.0,0.025,0.0
116,2021-01-07 09:00:00,37283.0,0.0,1.0,0.0,745.66,0.0,0.02
117,2021-01-07 11:00:00,37412.11,1.0,1.0,880.84345,22.447266,0.0235,0.0006
118,2021-01-07 12:00:00,37602.79,3.0,0.0,144.195309,0.0,0.0038,0.0
119,2021-01-07 13:00:00,38314.36,0.0,2.0,0.0,233.717596,0.0,0.0061
120,2021-01-07 14:00:00,38456.14,4.0,0.0,7505.542634,0.0,0.19519999999999998,0.0
121,2021-01-07 15:00:00,38374.56,1.0,0.0,510.381648,0.0,0.0133,0.0
122,2021-01-07 16:00:00,39226.08,1.0,2.0,200.053008,4142.719968,0.0051,0.106
123,2021-01-07 18:00:00,40000.0,0.0,3.0,0.0,612.0,0.0,0.0153
124,2021-01-07 20:00:00,38851.88,3.0,1.0,1724.987353,27.02,0.044399999999999995,0.0007
125,2021-01-07 21:00:00,39812.79,1.0,0.0,855.974985,0.0,0.0215,0.0
126,2021-01-07 23:00:00,39185.79,0.0,5.0,0.0,3659.897207,0.0,0.0934
127,2021-01-08 01:00:00,38601.27,3.0,2.0,2658.096724,1926.203373,0.0691,0.0499
128,2021-01-08 02:00:00,37449.62,7.0,2.0,14803.058001,150.237535,0.3947,0.004
129,2021-01-08 03:00:00,38182.84,9.0,0.0,10898.984511999999,0.0,0.287,0.0
130,2021-01-08 04:00:00,38599.64,1.0,0.0,903.231576,0.0,0.0234,0.0
131,2021-01-08 05:00:00,38129.17,4.0,0.0,4456.873756,0.0,0.1168,0.0
132,2021-01-08 06:00:00,38550.01,2.0,0.0,14966.325964000001,0.0,0.3883,0.0
133,2021-01-08 07:00:00,39063.09,1.0,1.0,1546.898364,15.564544,0.0396,0.0004
134,2021-01-08 08:00:00,38532.93,1.0,0.0,150.278427,0.0,0.0039,0.0
135,2021-01-08 09:00:00,38848.74,4.0,1.0,2927.9622,762.44,0.0754,0.0196
136,2021-01-08 10:00:00,40575.79,9.0,1.0,6486.227513999999,106.515,0.1589,0.0027
137,2021-01-08 11:00:00,41092.18,8.0,0.0,2699.69596,0.0,0.06559999999999999,0.0
138,2021-01-08 12:00:00,41574.0,4.0,3.0,4617.152316,472.423898,0.11080000000000001,0.0114
139,2021-01-08 13:00:00,41379.74,2.0,0.0,258.231222,0.0,0.0063,0.0
140,2021-01-08 14:00:00,41425.4,7.0,0.0,1996.676428,0.0,0.0482,0.0
141,2021-01-08 15:00:00,40199.92,11.0,0.0,12983.616162,0.0,0.3227,0.0
142,2021-01-08 16:00:00,41483.09,5.0,1.0,711.3863779999999,879.333875,0.0173,0.0215
143,2021-01-08 18:00:00,40625.88,0.0,1.0,0.0,2376.61398,0.0,0.0585
144,2021-01-08 20:00:00,39048.94,3.0,0.0,1253.420372,0.0,0.032100000000000004,0.0
145,2021-01-08 22:00:00,40300.0,0.0,2.0,0.0,535.950201,0.0,0.0133
146,2021-01-09 00:00:00,40038.65,2.0,1.0,217.788435,163.44,0.0054,0.004
147,2021-01-09 01:00:00,40064.06,1.0,4.0,108.172962,24347.019953999996,0.0027,0.6059
148,2021-01-09 02:00:00,40220.18,1.0,0.0,3881.24737,0.0,0.0965,0.0
149,2021-01-09 03:00:00,40318.79,0.0,1.0,0.0,169.338918,0.0,0.0042
150,2021-01-09 05:00:00,39665.05,3.0,1.0,714.608886,186.41657,0.017900000000000003,0.0047
151,2021-01-09 06:00:00,39018.37,1.0,1.0,47.281188,128.760621,0.0012,0.0033
152,2021-01-09 07:00:00,39452.26,3.0,1.0,2805.621182,635.181386,0.0714,0.0161
153,2021-01-09 08:00:00,39751.54,10.0,0.0,23998.333861,0.0,0.6039,0.0
154,2021-01-09 09:00:00,40420.01,3.0,3.0,476.99461099999996,56.684651,0.0118,0.0014
155,2021-01-09 11:00:00,41000.0,1.0,1.0,999.60343,262.4,0.0245,0.0064
156,2021-01-09 12:00:00,40575.02,1.0,0.0,202.8751,0.0,0.005,0.0
157,2021-01-09 13:00:00,40967.93,3.0,1.0,7378.234854,122.50362,0.1801,0.003
158,2021-01-09 14:00:00,41105.94,2.0,0.0,2729.94628,0.0,0.0664,0.0
159,2021-01-09 15:00:00,40675.04,2.0,0.0,174.93928,0.0,0.0043,0.0
160,2021-01-09 16:00:00,40000.0,1.0,2.0,432.243406,1260.0,0.0107,0.0315
161,2021-01-09 17:00:00,40465.26,2.0,1.0,3402.310266,724.95,0.08410000000000001,0.0179
162,2021-01-09 18:00:00,40770.85,1.0,0.0,4068.93083,0.0,0.0998,0.0
163,2021-01-10 01:00:00,41157.01,1.0,1.0,16.462804,4.111083,0.0004,0.0001
164,2021-01-10 03:00:00,40700.01,2.0,0.0,3163.02081,0.0,0.0774,0.0
165,2021-01-10 04:00:00,40330.0,1.0,1.0,2431.0272,4129.792,0.06,0.1024
166,2021-01-10 06:00:00,41000.03,3.0,2.0,540.831917,1066.0000269999998,0.0133,0.026000000000000002
167,2021-01-10 07:00:00,40862.15,5.0,0.0,10704.362967,0.0,0.262,0.0
168,2021-01-10 08:00:00,40727.36,1.0,0.0,105.891136,0.0,0.0026,0.0
169,2021-01-10 09:00:00,40830.21,6.0,0.0,380.665664,0.0,0.0093,0.0
